form,tags
adjure,"['first-person', 'present', 'singular', 'subjunctive']"
adjure,"['imperative', 'second-person', 'singular']"
adjurent,"['indicative', 'plural', 'present', 'third-person']"
adjurent,"['plural', 'present', 'subjunctive', 'third-person']"
adjurer,['infinitive']
adjurera,"['future', 'indicative', 'singular', 'third-person']"
adjurerai,"['first-person', 'future', 'indicative', 'singular']"
adjureraient,"['conditional', 'plural', 'third-person']"
adjurerais,"['conditional', 'second-person', 'singular']"
adjurerais,"['conditional', 'first-person', 'singular']"
adjurerait,"['conditional', 'singular', 'third-person']"
adjureras,"['future', 'indicative', 'second-person', 'singular']"
adjurerez,"['future', 'indicative', 'plural', 'second-person']"
adjureriez,"['conditional', 'plural', 'second-person']"
adjurerions,"['conditional', 'first-person', 'plural']"
adjurerons,"['first-person', 'future', 'indicative', 'plural']"
adjureront,"['future', 'indicative', 'plural', 'third-person']"
adjures,"['indicative', 'present', 'second-person', 'singular']"
adjures,"['present', 'second-person', 'singular', 'subjunctive']"
adjurez,"['imperative', 'plural', 'second-person']"
adjurez,"['indicative', 'plural', 'present', 'second-person']"
adjuriez,"['imperfect', 'indicative', 'plural', 'second-person']"
adjuriez,"['plural', 'present', 'second-person', 'subjunctive']"
adjurions,"['first-person', 'imperfect', 'indicative', 'plural']"
adjurions,"['first-person', 'plural', 'present', 'subjunctive']"
adjurons,"['first-person', 'imperative', 'plural']"
adjurons,"['first-person', 'indicative', 'plural', 'present']"
adjurâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
adjurât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
adjurâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adjurèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
adjuré,"['participle', 'past']"
adjurée,"['feminine', 'singular']"
adjurées,"['feminine', 'plural']"
adjurés,"['masculine', 'plural']"
admet,"['indicative', 'present', 'singular', 'third-person']"
admets,"['imperative', 'second-person', 'singular']"
admets,"['indicative', 'present', 'second-person', 'singular']"
admets,"['first-person', 'indicative', 'present', 'singular']"
admettaient,"['imperfect', 'indicative', 'plural', 'third-person']"
admettais,"['first-person', 'imperfect', 'indicative', 'singular']"
admettais,"['imperfect', 'indicative', 'second-person', 'singular']"
admettait,"['imperfect', 'indicative', 'singular', 'third-person']"
admettant,"['gerund', 'participle', 'present']"
admette,"['present', 'singular', 'subjunctive', 'third-person']"
admette,"['first-person', 'present', 'singular', 'subjunctive']"
admettent,"['indicative', 'plural', 'present', 'third-person']"
admettent,"['plural', 'present', 'subjunctive', 'third-person']"
admettes,"['present', 'second-person', 'singular', 'subjunctive']"
admettez,"['imperative', 'plural', 'second-person']"
admettez,"['indicative', 'plural', 'present', 'second-person']"
admettiez,"['plural', 'present', 'second-person', 'subjunctive']"
admettiez,"['imperfect', 'indicative', 'plural', 'second-person']"
admettions,"['first-person', 'plural', 'present', 'subjunctive']"
admettions,"['first-person', 'imperfect', 'indicative', 'plural']"
admettons,"['first-person', 'indicative', 'plural', 'present']"
admettons,"['first-person', 'imperative', 'plural']"
admettra,"['future', 'indicative', 'singular', 'third-person']"
admettrai,"['first-person', 'future', 'indicative', 'singular']"
admettraient,"['conditional', 'plural', 'third-person']"
admettrais,"['conditional', 'first-person', 'singular']"
admettrais,"['conditional', 'second-person', 'singular']"
admettrait,"['conditional', 'singular', 'third-person']"
admettras,"['future', 'indicative', 'second-person', 'singular']"
admettre,['infinitive']
admettrez,"['future', 'indicative', 'plural', 'second-person']"
admettriez,"['conditional', 'plural', 'second-person']"
admettrions,"['conditional', 'first-person', 'plural']"
admettrons,"['first-person', 'future', 'indicative', 'plural']"
admettront,"['future', 'indicative', 'plural', 'third-person']"
administra,"['historic', 'indicative', 'past', 'singular', 'third-person']"
administrai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
administraient,"['imperfect', 'indicative', 'plural', 'third-person']"
administrais,"['first-person', 'imperfect', 'indicative', 'singular']"
administrais,"['imperfect', 'indicative', 'second-person', 'singular']"
administrait,"['imperfect', 'indicative', 'singular', 'third-person']"
administrant,"['gerund', 'participle', 'present']"
administras,"['historic', 'indicative', 'past', 'second-person', 'singular']"
administrasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
administrassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
administrasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
administrassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
administrassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
administre,"['imperative', 'second-person', 'singular']"
administre,"['present', 'singular', 'subjunctive', 'third-person']"
administre,"['first-person', 'present', 'singular', 'subjunctive']"
administre,"['indicative', 'present', 'singular', 'third-person']"
administre,"['first-person', 'indicative', 'present', 'singular']"
administrent,"['indicative', 'plural', 'present', 'third-person']"
administrent,"['plural', 'present', 'subjunctive', 'third-person']"
administrer,['infinitive']
administrera,"['future', 'indicative', 'singular', 'third-person']"
administrerai,"['first-person', 'future', 'indicative', 'singular']"
administreraient,"['conditional', 'plural', 'third-person']"
administrerais,"['conditional', 'first-person', 'singular']"
administrerais,"['conditional', 'second-person', 'singular']"
administrerait,"['conditional', 'singular', 'third-person']"
administreras,"['future', 'indicative', 'second-person', 'singular']"
administrerez,"['future', 'indicative', 'plural', 'second-person']"
administreriez,"['conditional', 'plural', 'second-person']"
administrerions,"['conditional', 'first-person', 'plural']"
administrerons,"['first-person', 'future', 'indicative', 'plural']"
administreront,"['future', 'indicative', 'plural', 'third-person']"
administres,"['present', 'second-person', 'singular', 'subjunctive']"
administres,"['indicative', 'present', 'second-person', 'singular']"
administrez,"['indicative', 'plural', 'present', 'second-person']"
administrez,"['imperative', 'plural', 'second-person']"
administriez,"['imperfect', 'indicative', 'plural', 'second-person']"
administriez,"['plural', 'present', 'second-person', 'subjunctive']"
administrions,"['first-person', 'plural', 'present', 'subjunctive']"
administrions,"['first-person', 'imperfect', 'indicative', 'plural']"
administrons,"['first-person', 'indicative', 'plural', 'present']"
administrons,"['first-person', 'imperative', 'plural']"
administrâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
administrât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
administrâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
administrèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
administré,"['participle', 'past']"
administrée,"['feminine', 'singular']"
administrées,"['feminine', 'plural']"
administrés,"['masculine', 'plural']"
admira,"['historic', 'indicative', 'past', 'singular', 'third-person']"
admirai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
admiraient,"['imperfect', 'indicative', 'plural', 'third-person']"
admirais,"['imperfect', 'indicative', 'second-person', 'singular']"
admirais,"['first-person', 'imperfect', 'indicative', 'singular']"
admirait,"['imperfect', 'indicative', 'singular', 'third-person']"
admirant,"['gerund', 'participle', 'present']"
admiras,"['historic', 'indicative', 'past', 'second-person', 'singular']"
admirasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
admirassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
admirasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
admirassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
admirassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
admire,"['first-person', 'indicative', 'present', 'singular']"
admire,"['indicative', 'present', 'singular', 'third-person']"
admire,"['present', 'singular', 'subjunctive', 'third-person']"
admire,"['first-person', 'present', 'singular', 'subjunctive']"
admire,"['imperative', 'second-person', 'singular']"
admirent,"['indicative', 'plural', 'present', 'third-person']"
admirent,"['plural', 'present', 'subjunctive', 'third-person']"
admirent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
admirer,['infinitive']
admirera,"['future', 'indicative', 'singular', 'third-person']"
admirerai,"['first-person', 'future', 'indicative', 'singular']"
admireraient,"['conditional', 'plural', 'third-person']"
admirerais,"['conditional', 'first-person', 'singular']"
admirerais,"['conditional', 'second-person', 'singular']"
admirerait,"['conditional', 'singular', 'third-person']"
admireras,"['future', 'indicative', 'second-person', 'singular']"
admirerez,"['future', 'indicative', 'plural', 'second-person']"
admireriez,"['conditional', 'plural', 'second-person']"
admirerions,"['conditional', 'first-person', 'plural']"
admirerons,"['first-person', 'future', 'indicative', 'plural']"
admireront,"['future', 'indicative', 'plural', 'third-person']"
admires,"['indicative', 'present', 'second-person', 'singular']"
admires,"['present', 'second-person', 'singular', 'subjunctive']"
admirez,"['indicative', 'plural', 'present', 'second-person']"
admirez,"['imperative', 'plural', 'second-person']"
admiriez,"['imperfect', 'indicative', 'plural', 'second-person']"
admiriez,"['plural', 'present', 'second-person', 'subjunctive']"
admirions,"['first-person', 'imperfect', 'indicative', 'plural']"
admirions,"['first-person', 'plural', 'present', 'subjunctive']"
admirons,"['first-person', 'imperative', 'plural']"
admirons,"['first-person', 'indicative', 'plural', 'present']"
admirâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
admirât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
admirâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
admirèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
admiré,"['participle', 'past']"
admirée,"['feminine', 'singular']"
admirées,"['feminine', 'plural']"
admirés,"['masculine', 'plural']"
admis,"['participle', 'past']"
admis,"['first-person', 'historic', 'indicative', 'past', 'singular']"
admis,"['historic', 'indicative', 'past', 'second-person', 'singular']"
admis,"['masculine', 'plural']"
admise,"['feminine', 'singular']"
admises,"['feminine', 'plural']"
admisse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
admissent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
admisses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
admissiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
admissions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
admit,"['historic', 'indicative', 'past', 'singular', 'third-person']"
admonesta,"['historic', 'indicative', 'past', 'singular', 'third-person']"
admonestai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
admonestaient,"['imperfect', 'indicative', 'plural', 'third-person']"
admonestais,"['imperfect', 'indicative', 'second-person', 'singular']"
admonestais,"['first-person', 'imperfect', 'indicative', 'singular']"
admonestait,"['imperfect', 'indicative', 'singular', 'third-person']"
admonestant,"['gerund', 'participle', 'present']"
admonestas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
admonestasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
admonestassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
admonestasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
admonestassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
admonestassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
admoneste,"['first-person', 'indicative', 'present', 'singular']"
admoneste,"['imperative', 'second-person', 'singular']"
admoneste,"['indicative', 'present', 'singular', 'third-person']"
admoneste,"['present', 'singular', 'subjunctive', 'third-person']"
admoneste,"['first-person', 'present', 'singular', 'subjunctive']"
admonestent,"['plural', 'present', 'subjunctive', 'third-person']"
admonestent,"['indicative', 'plural', 'present', 'third-person']"
admonester,['infinitive']
admonestera,"['future', 'indicative', 'singular', 'third-person']"
admonesterai,"['first-person', 'future', 'indicative', 'singular']"
admonesteraient,"['conditional', 'plural', 'third-person']"
admonesterais,"['conditional', 'first-person', 'singular']"
admonesterais,"['conditional', 'second-person', 'singular']"
admonesterait,"['conditional', 'singular', 'third-person']"
admonesteras,"['future', 'indicative', 'second-person', 'singular']"
admonesterez,"['future', 'indicative', 'plural', 'second-person']"
admonesteriez,"['conditional', 'plural', 'second-person']"
admonesterions,"['conditional', 'first-person', 'plural']"
admonesterons,"['first-person', 'future', 'indicative', 'plural']"
admonesteront,"['future', 'indicative', 'plural', 'third-person']"
admonestes,"['present', 'second-person', 'singular', 'subjunctive']"
admonestes,"['indicative', 'present', 'second-person', 'singular']"
admonestez,"['indicative', 'plural', 'present', 'second-person']"
admonestez,"['imperative', 'plural', 'second-person']"
admonestiez,"['plural', 'present', 'second-person', 'subjunctive']"
admonestiez,"['imperfect', 'indicative', 'plural', 'second-person']"
admonestions,"['first-person', 'imperfect', 'indicative', 'plural']"
admonestions,"['first-person', 'plural', 'present', 'subjunctive']"
admonestons,"['first-person', 'imperative', 'plural']"
admonestons,"['first-person', 'indicative', 'plural', 'present']"
admonestâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
admonestât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
admonestâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
admonestèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
admonesté,"['participle', 'past']"
admonestée,"['feminine', 'singular']"
admonestées,"['feminine', 'plural']"
admonestés,"['masculine', 'plural']"
admîmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
admît,"['imperfect', 'singular', 'subjunctive', 'third-person']"
admîtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adonisa,"['historic', 'indicative', 'past', 'singular', 'third-person']"
adonisai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
adonisaient,"['imperfect', 'indicative', 'plural', 'third-person']"
adonisais,"['first-person', 'imperfect', 'indicative', 'singular']"
adonisais,"['imperfect', 'indicative', 'second-person', 'singular']"
adonisait,"['imperfect', 'indicative', 'singular', 'third-person']"
adonisant,"['gerund', 'participle', 'present']"
adonisas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
adonisasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
adonisassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
adonisasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
adonisassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
adonisassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
adonise,"['imperative', 'second-person', 'singular']"
adonise,"['first-person', 'indicative', 'present', 'singular']"
adonise,"['indicative', 'present', 'singular', 'third-person']"
adonise,"['first-person', 'present', 'singular', 'subjunctive']"
adonise,"['present', 'singular', 'subjunctive', 'third-person']"
adonisent,"['indicative', 'plural', 'present', 'third-person']"
adonisent,"['plural', 'present', 'subjunctive', 'third-person']"
adoniser,['infinitive']
adonisera,"['future', 'indicative', 'singular', 'third-person']"
adoniserai,"['first-person', 'future', 'indicative', 'singular']"
adoniseraient,"['conditional', 'plural', 'third-person']"
adoniserais,"['conditional', 'second-person', 'singular']"
adoniserais,"['conditional', 'first-person', 'singular']"
adoniserait,"['conditional', 'singular', 'third-person']"
adoniseras,"['future', 'indicative', 'second-person', 'singular']"
adoniserez,"['future', 'indicative', 'plural', 'second-person']"
adoniseriez,"['conditional', 'plural', 'second-person']"
adoniserions,"['conditional', 'first-person', 'plural']"
adoniserons,"['first-person', 'future', 'indicative', 'plural']"
adoniseront,"['future', 'indicative', 'plural', 'third-person']"
adonises,"['present', 'second-person', 'singular', 'subjunctive']"
adonises,"['indicative', 'present', 'second-person', 'singular']"
adonisez,"['imperative', 'plural', 'second-person']"
adonisez,"['indicative', 'plural', 'present', 'second-person']"
adonisiez,"['imperfect', 'indicative', 'plural', 'second-person']"
adonisiez,"['plural', 'present', 'second-person', 'subjunctive']"
adonisions,"['first-person', 'imperfect', 'indicative', 'plural']"
adonisions,"['first-person', 'plural', 'present', 'subjunctive']"
adonisons,"['first-person', 'indicative', 'plural', 'present']"
adonisons,"['first-person', 'imperative', 'plural']"
adonisâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
adonisât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
adonisâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adonisèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
adonisé,"['participle', 'past']"
adonisée,"['feminine', 'singular']"
adonisées,"['feminine', 'plural']"
adonisés,"['masculine', 'plural']"
adonna,
adonnai,
adonnaient,
adonnais,
adonnait,
adonnant,
adonnas,
adonnasse,
adonnassent,
adonnasses,
adonnassiez,
adonnassions,
adonne,
adonne-toi,"['imperative', 'reflexive', 'second-person', 'singular']"
adonnent,
adonner,
adonnera,
adonnerai,
adonneraient,
adonnerais,
adonnerait,
adonneras,
adonnerez,
adonneriez,
adonnerions,
adonnerons,
adonneront,
adonnes,
adonnez,
adonnez-vous,"['imperative', 'plural', 'reflexive', 'second-person']"
adonniez,
adonnions,
adonnons,
adonnons-nous,"['first-person', 'imperative', 'plural', 'reflexive']"
adonnâmes,
adonnât,
adonnâtes,
adonnèrent,
adonné,"['participle', 'past', 'reflexive']"
adonnée,"['feminine', 'singular']"
adonnées,"['feminine', 'plural']"
adonnés,"['masculine', 'plural']"
adopta,"['historic', 'indicative', 'past', 'singular', 'third-person']"
adoptai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
adoptaient,"['imperfect', 'indicative', 'plural', 'third-person']"
adoptais,"['first-person', 'imperfect', 'indicative', 'singular']"
adoptais,"['imperfect', 'indicative', 'second-person', 'singular']"
adoptait,"['imperfect', 'indicative', 'singular', 'third-person']"
adoptant,"['gerund', 'participle', 'present']"
adoptas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
adoptasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
adoptassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
adoptasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
adoptassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
adoptassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
adopte,"['indicative', 'present', 'singular', 'third-person']"
adopte,"['first-person', 'indicative', 'present', 'singular']"
adopte,"['present', 'singular', 'subjunctive', 'third-person']"
adopte,"['imperative', 'second-person', 'singular']"
adopte,"['first-person', 'present', 'singular', 'subjunctive']"
adoptent,"['indicative', 'plural', 'present', 'third-person']"
adoptent,"['plural', 'present', 'subjunctive', 'third-person']"
adopter,['infinitive']
adoptera,"['future', 'indicative', 'singular', 'third-person']"
adopterai,"['first-person', 'future', 'indicative', 'singular']"
adopteraient,"['conditional', 'plural', 'third-person']"
adopterais,"['conditional', 'first-person', 'singular']"
adopterais,"['conditional', 'second-person', 'singular']"
adopterait,"['conditional', 'singular', 'third-person']"
adopteras,"['future', 'indicative', 'second-person', 'singular']"
adopterez,"['future', 'indicative', 'plural', 'second-person']"
adopteriez,"['conditional', 'plural', 'second-person']"
adopterions,"['conditional', 'first-person', 'plural']"
adopterons,"['first-person', 'future', 'indicative', 'plural']"
adopteront,"['future', 'indicative', 'plural', 'third-person']"
adoptes,"['present', 'second-person', 'singular', 'subjunctive']"
adoptes,"['indicative', 'present', 'second-person', 'singular']"
adoptez,"['indicative', 'plural', 'present', 'second-person']"
adoptez,"['imperative', 'plural', 'second-person']"
adoptiez,"['imperfect', 'indicative', 'plural', 'second-person']"
adoptiez,"['plural', 'present', 'second-person', 'subjunctive']"
adoptions,"['first-person', 'imperfect', 'indicative', 'plural']"
adoptions,"['first-person', 'plural', 'present', 'subjunctive']"
adoptons,"['first-person', 'indicative', 'plural', 'present']"
adoptons,"['first-person', 'imperative', 'plural']"
adoptâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
adoptât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
adoptâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adoptèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
adopté,"['participle', 'past']"
adoptée,"['feminine', 'singular']"
adoptées,"['feminine', 'plural']"
adoptés,"['masculine', 'plural']"
adora,"['historic', 'indicative', 'past', 'singular', 'third-person']"
adorai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
adoraient,"['imperfect', 'indicative', 'plural', 'third-person']"
adorais,"['imperfect', 'indicative', 'second-person', 'singular']"
adorais,"['first-person', 'imperfect', 'indicative', 'singular']"
adorait,"['imperfect', 'indicative', 'singular', 'third-person']"
adorant,"['gerund', 'participle', 'present']"
adoras,"['historic', 'indicative', 'past', 'second-person', 'singular']"
adorasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
adorassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
adorasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
adorassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
adorassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
adore,"['indicative', 'present', 'singular', 'third-person']"
adore,"['first-person', 'present', 'singular', 'subjunctive']"
adore,"['present', 'singular', 'subjunctive', 'third-person']"
adore,"['first-person', 'indicative', 'present', 'singular']"
adore,"['imperative', 'second-person', 'singular']"
adorent,"['indicative', 'plural', 'present', 'third-person']"
adorent,"['plural', 'present', 'subjunctive', 'third-person']"
adorer,['infinitive']
adorera,"['future', 'indicative', 'singular', 'third-person']"
adorerai,"['first-person', 'future', 'indicative', 'singular']"
adoreraient,"['conditional', 'plural', 'third-person']"
adorerais,"['conditional', 'first-person', 'singular']"
adorerais,"['conditional', 'second-person', 'singular']"
adorerait,"['conditional', 'singular', 'third-person']"
adoreras,"['future', 'indicative', 'second-person', 'singular']"
adorerez,"['future', 'indicative', 'plural', 'second-person']"
adoreriez,"['conditional', 'plural', 'second-person']"
adorerions,"['conditional', 'first-person', 'plural']"
adorerons,"['first-person', 'future', 'indicative', 'plural']"
adoreront,"['future', 'indicative', 'plural', 'third-person']"
adores,"['present', 'second-person', 'singular', 'subjunctive']"
adores,"['indicative', 'present', 'second-person', 'singular']"
adorez,"['indicative', 'plural', 'present', 'second-person']"
adorez,"['imperative', 'plural', 'second-person']"
adoriez,"['plural', 'present', 'second-person', 'subjunctive']"
adoriez,"['imperfect', 'indicative', 'plural', 'second-person']"
adorions,"['first-person', 'imperfect', 'indicative', 'plural']"
adorions,"['first-person', 'plural', 'present', 'subjunctive']"
adorna,"['historic', 'indicative', 'past', 'singular', 'third-person']"
adornai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
adornaient,"['imperfect', 'indicative', 'plural', 'third-person']"
adornais,"['first-person', 'imperfect', 'indicative', 'singular']"
adornais,"['imperfect', 'indicative', 'second-person', 'singular']"
adornait,"['imperfect', 'indicative', 'singular', 'third-person']"
adornant,"['gerund', 'participle', 'present']"
adornas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
adornasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
adornassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
adornasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
adornassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
adornassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
adorne,"['present', 'singular', 'subjunctive', 'third-person']"
adorne,"['first-person', 'indicative', 'present', 'singular']"
adorne,"['indicative', 'present', 'singular', 'third-person']"
adorne,"['first-person', 'present', 'singular', 'subjunctive']"
adorne,"['imperative', 'second-person', 'singular']"
adornent,"['indicative', 'plural', 'present', 'third-person']"
adornent,"['plural', 'present', 'subjunctive', 'third-person']"
adorner,['infinitive']
adornera,"['future', 'indicative', 'singular', 'third-person']"
adornerai,"['first-person', 'future', 'indicative', 'singular']"
adorneraient,"['conditional', 'plural', 'third-person']"
adornerais,"['conditional', 'second-person', 'singular']"
adornerais,"['conditional', 'first-person', 'singular']"
adornerait,"['conditional', 'singular', 'third-person']"
adorneras,"['future', 'indicative', 'second-person', 'singular']"
adornerez,"['future', 'indicative', 'plural', 'second-person']"
adorneriez,"['conditional', 'plural', 'second-person']"
adornerions,"['conditional', 'first-person', 'plural']"
adornerons,"['first-person', 'future', 'indicative', 'plural']"
adorneront,"['future', 'indicative', 'plural', 'third-person']"
adornes,"['indicative', 'present', 'second-person', 'singular']"
adornes,"['present', 'second-person', 'singular', 'subjunctive']"
adornez,"['indicative', 'plural', 'present', 'second-person']"
adornez,"['imperative', 'plural', 'second-person']"
adorniez,"['imperfect', 'indicative', 'plural', 'second-person']"
adorniez,"['plural', 'present', 'second-person', 'subjunctive']"
adornions,"['first-person', 'imperfect', 'indicative', 'plural']"
adornions,"['first-person', 'plural', 'present', 'subjunctive']"
adornons,"['first-person', 'indicative', 'plural', 'present']"
adornons,"['first-person', 'imperative', 'plural']"
adornâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
adornât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
adornâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adornèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
adorné,"['participle', 'past']"
adorons,"['first-person', 'imperative', 'plural']"
adorons,"['first-person', 'indicative', 'plural', 'present']"
adorâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
adorât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
adorâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adorèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
adoré,"['participle', 'past']"
adorée,"['feminine', 'singular']"
adorées,"['feminine', 'plural']"
adorés,"['masculine', 'plural']"
adossa,"['historic', 'indicative', 'past', 'singular', 'third-person']"
adossai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
adossaient,"['imperfect', 'indicative', 'plural', 'third-person']"
adossais,"['imperfect', 'indicative', 'second-person', 'singular']"
adossais,"['first-person', 'imperfect', 'indicative', 'singular']"
adossait,"['imperfect', 'indicative', 'singular', 'third-person']"
adossant,"['gerund', 'participle', 'present']"
adossas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
adossasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
adossassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
adossasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
adossassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
adossassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
adosse,"['first-person', 'indicative', 'present', 'singular']"
adosse,"['indicative', 'present', 'singular', 'third-person']"
adosse,"['first-person', 'present', 'singular', 'subjunctive']"
adosse,"['imperative', 'second-person', 'singular']"
adosse,"['present', 'singular', 'subjunctive', 'third-person']"
adossent,"['indicative', 'plural', 'present', 'third-person']"
adossent,"['plural', 'present', 'subjunctive', 'third-person']"
adosser,['infinitive']
adossera,"['future', 'indicative', 'singular', 'third-person']"
adosserai,"['first-person', 'future', 'indicative', 'singular']"
adosseraient,"['conditional', 'plural', 'third-person']"
adosserais,"['conditional', 'second-person', 'singular']"
adosserais,"['conditional', 'first-person', 'singular']"
adosserait,"['conditional', 'singular', 'third-person']"
adosseras,"['future', 'indicative', 'second-person', 'singular']"
adosserez,"['future', 'indicative', 'plural', 'second-person']"
adosseriez,"['conditional', 'plural', 'second-person']"
adosserions,"['conditional', 'first-person', 'plural']"
adosserons,"['first-person', 'future', 'indicative', 'plural']"
adosseront,"['future', 'indicative', 'plural', 'third-person']"
adosses,"['indicative', 'present', 'second-person', 'singular']"
adosses,"['present', 'second-person', 'singular', 'subjunctive']"
adossez,"['indicative', 'plural', 'present', 'second-person']"
adossez,"['imperative', 'plural', 'second-person']"
adossiez,"['imperfect', 'indicative', 'plural', 'second-person']"
adossiez,"['plural', 'present', 'second-person', 'subjunctive']"
adossions,"['first-person', 'imperfect', 'indicative', 'plural']"
adossions,"['first-person', 'plural', 'present', 'subjunctive']"
adossons,"['first-person', 'imperative', 'plural']"
adossons,"['first-person', 'indicative', 'plural', 'present']"
adossâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
adossât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
adossâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
adossèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
adossé,"['participle', 'past']"
adossée,"['feminine', 'singular']"
adossées,"['feminine', 'plural']"
adossés,"['masculine', 'plural']"
adouba,"['historic', 'indicative', 'past', 'singular', 'third-person']"
adoubai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
