form,tags
/ɛ̃.tɛʁ.pə.lje/,"['imperfect', 'indicative', 'plural', 'second-person']"
/ɛ̃.tɛʁ.pə.ljɔ̃/,"['first-person', 'plural', 'present', 'subjunctive']"
/ɛ̃.tɛʁ.pə.ljɔ̃/,"['first-person', 'imperfect', 'indicative', 'plural']"
/ɛ̃.tɛʁ.pə.lɑ̃/,"['gerund', 'participle', 'present']"
/ɛ̃.tɛʁ.pə.lɔ̃/,"['first-person', 'indicative', 'plural', 'present']"
/ɛ̃.tɛʁ.pə.lɔ̃/,"['first-person', 'imperative', 'plural']"
/ɛ̃.tɛʁ.pə.lɛ/,"['imperfect', 'indicative', 'singular', 'third-person']"
/ɛ̃.tɛʁ.pə.lɛ/,"['imperfect', 'indicative', 'plural', 'third-person']"
/ɛ̃.tɛʁ.pə.lɛ/,"['imperfect', 'indicative', 'second-person', 'singular']"
/ɛ̃.tɛʁ.pə.lɛ/,"['first-person', 'imperfect', 'indicative', 'singular']"
/ɛ̃.tɛʁ.pə.lɛʁ/,"['historic', 'indicative', 'past', 'plural', 'third-person']"
Usée,
Usées,
Usés,
a,"['indicative', 'present', 'singular', 'third-person']"
a-t-il,
abada,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abadai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
abadaient,"['imperfect', 'indicative', 'plural', 'third-person']"
abadais,"['first-person', 'imperfect', 'indicative', 'singular']"
abadais,"['imperfect', 'indicative', 'second-person', 'singular']"
abadait,"['imperfect', 'indicative', 'singular', 'third-person']"
abadant,"['gerund', 'participle', 'present']"
abadas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
abadasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
abadassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
abadasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
abadassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
abadassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
abade,"['present', 'singular', 'subjunctive', 'third-person']"
abade,"['first-person', 'present', 'singular', 'subjunctive']"
abade,"['imperative', 'second-person', 'singular']"
abade,"['first-person', 'indicative', 'present', 'singular']"
abade,"['indicative', 'present', 'singular', 'third-person']"
abadent,"['plural', 'present', 'subjunctive', 'third-person']"
abadent,"['indicative', 'plural', 'present', 'third-person']"
abader,['infinitive']
abadera,"['future', 'indicative', 'singular', 'third-person']"
abaderai,"['first-person', 'future', 'indicative', 'singular']"
abaderaient,"['conditional', 'plural', 'third-person']"
abaderais,"['conditional', 'first-person', 'singular']"
abaderais,"['conditional', 'second-person', 'singular']"
abaderait,"['conditional', 'singular', 'third-person']"
abaderas,"['future', 'indicative', 'second-person', 'singular']"
abaderez,"['future', 'indicative', 'plural', 'second-person']"
abaderiez,"['conditional', 'plural', 'second-person']"
abaderions,"['conditional', 'first-person', 'plural']"
abaderons,"['first-person', 'future', 'indicative', 'plural']"
abaderont,"['future', 'indicative', 'plural', 'third-person']"
abades,"['indicative', 'present', 'second-person', 'singular']"
abades,"['present', 'second-person', 'singular', 'subjunctive']"
abadez,"['indicative', 'plural', 'present', 'second-person']"
abadez,"['imperative', 'plural', 'second-person']"
abadiez,"['imperfect', 'indicative', 'plural', 'second-person']"
abadiez,"['plural', 'present', 'second-person', 'subjunctive']"
abadions,"['first-person', 'plural', 'present', 'subjunctive']"
abadions,"['first-person', 'imperfect', 'indicative', 'plural']"
abadons,"['first-person', 'imperative', 'plural']"
abadons,"['first-person', 'indicative', 'plural', 'present']"
abadâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
abadât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
abadâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
abadèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
abadé,"['participle', 'past']"
abadée,"['feminine', 'singular']"
abadées,"['feminine', 'plural']"
abadés,"['masculine', 'plural']"
abaie,"['first-person', 'indicative', 'present', 'singular']"
abaie,"['first-person', 'present', 'singular', 'subjunctive']"
